,date,open,close,high,low,volume,code
1579,2008-06-23,-57.309,-62.644,-57.309,-63.312,15406.15,sh600519
1580,2008-06-24,-66.242,-61.344,-60.69,-67.828,22052.73,sh600519
1581,2008-06-25,-62.418,-55.424,-55.055,-63.312,12782.54,sh600519
1582,2008-06-26,-53.928,-54.642,-52.801,-56.934,7753.52,sh600519
1583,2008-06-27,-57.016,-58.617,-56.07,-59.556,16260.46,sh600519
1584,2008-06-30,-60.315,-59.879,-57.309,-60.983,8497.92,sh600519
1585,2008-07-01,-59.879,-61.291,-59.879,-61.817,7677.65,sh600519
1586,2008-07-02,-61.442,-61.735,-60.322,-62.561,6045.8,sh600519
1587,2008-07-03,-62.771,-58.038,-56.558,-63.004,7895.1,sh600519
1588,2008-07-04,-58.038,-57.85,-57.121,-59.541,3982.05,sh600519
1589,2008-07-07,-57.85,-54.297,-53.928,-58.812,12514.57,sh600519
1590,2008-07-08,-54.402,-55.964,-53.027,-56.37,13648.36,sh600519
1591,2008-07-09,-55.424,-54.454,-52.801,-55.424,10183.03,sh600519
1592,2008-07-10,-55.055,-54.266,-53.305,-55.581,7170.03,sh600519
1593,2008-07-11,-55.048,-55.424,-53.718,-55.807,3016.77,sh600519
1594,2008-07-14,-55.07,-53.478,-53.177,-55.957,5258.11,sh600519
1595,2008-07-15,-53.47,-54.807,-52.666,-55.198,5735.25,sh600519
1596,2008-07-16,-55.206,-53.072,-52.621,-56.558,9010.48,sh600519
1597,2008-07-17,-53.027,-47.399,-45.439,-53.027,18015.51,sh600519
1598,2008-07-18,-49.045,-45.318,-44.92,-49.421,9219.66,sh600519
1599,2008-07-21,-46.205,-42.651,-42.283,-46.791,8192.27,sh600519
1600,2008-07-22,-42.651,-44.56,-40.037,-45.288,4276.27,sh600519
1601,2008-07-23,-45.206,-46.25,-44.146,-47.527,4524.93,sh600519
1602,2008-07-24,-45.814,-42.779,-42.659,-45.814,4446.81,sh600519
1603,2008-07-25,-43.726,-42.659,-41.532,-44.822,5279.51,sh600519
1604,2008-07-28,-42.013,-42.283,-41.156,-42.659,2562.85,sh600519
1605,2008-07-29,-42.291,-42.448,-41.547,-44.905,3594.19,sh600519
1606,2008-07-30,-42.276,-43.064,-42.058,-44.537,3499.29,sh600519
1607,2008-07-31,-43.643,-43.868,-43.064,-44.898,4751.42,sh600519
1608,2008-08-01,-44.68,-44.507,-43.034,-46.28,3235.71,sh600519
1609,2008-08-04,-45.882,-45.927,-43.823,-46.19,2850.52,sh600519
1610,2008-08-05,-46.273,-46.498,-45.213,-46.791,2363.38,sh600519
1611,2008-08-06,-45.754,-45.694,-45.063,-47.129,3302.57,sh600519
1612,2008-08-07,-46.378,-48.647,-45.296,-49.421,4279.44,sh600519
1613,2008-08-08,-48.895,-49.405,-48.083,-50.698,6116.98,sh600519
1614,2008-08-11,-52.05,-54.251,-49.045,-54.304,7999.41,sh600519
1615,2008-08-12,-55.131,-53.072,-52.05,-56.475,4530.5,sh600519
1616,2008-08-13,-53.56,-52.831,-52.366,-54.079,6373.25,sh600519
1617,2008-08-14,-52.809,-52.043,-49.345,-53.801,12970.55,sh600519
1618,2008-08-15,-52.05,-49.961,-49.045,-52.726,5540.96,sh600519
1619,2008-08-18,-49.961,-53.981,-49.12,-54.154,3339.25,sh600519
1620,2008-08-19,-57.242,-55.792,-53.695,-57.242,6270.08,sh600519
1621,2008-08-20,-56.498,-50.352,-49.045,-56.498,7250.41,sh600519
1622,2008-08-21,-51.659,-52.899,-49.045,-55.048,5143.22,sh600519
1623,2008-08-22,-52.824,-54.853,-52.14,-55.686,2911.23,sh600519
1624,2008-08-25,-54.928,-55.649,-54.379,-56.919,4776.13,sh600519
1625,2008-08-26,-55.641,-58.804,-55.641,-59.714,4704.71,sh600519
1626,2008-08-27,-60.217,-62.456,-56.941,-62.591,4538.88,sh600519
1627,2008-08-28,-58.827,-61.442,-57.309,-61.817,9633.5,sh600519
1628,2008-08-29,-61.081,-58.819,-58.061,-61.817,9172.11,sh600519
1629,2008-09-01,-59.037,-62.08,-58.587,-62.185,13856.44,sh600519
1630,2008-09-02,-62.073,-66.333,-62.073,-67.948,26629.45,sh600519
1631,2008-09-03,-67.445,-68.466,-67.227,-69.563,35456.36,sh600519
1632,2008-09-04,-68.459,-66.746,-66.325,-68.872,8055.84,sh600519
1633,2008-09-05,-68.016,-65.386,-64.973,-69.255,8606.8,sh600519
1634,2008-09-08,-65.288,-65.904,-64.409,-67.144,8048.67,sh600519
1635,2008-09-09,-67.046,-64.221,-63.733,-67.046,4145.08,sh600519
1636,2008-09-10,-65.198,-64.244,-61.817,-65.198,6603.79,sh600519
1637,2008-09-11,-63.41,-64.544,-63.41,-64.822,4657.0,sh600519
1638,2008-09-12,-64.59,-64.071,-63.064,-64.59,6201.63,sh600519
1639,2008-09-16,-64.236,-65.401,-64.214,-67.061,13757.74,sh600519
1640,2008-09-17,-65.326,-67.692,-64.221,-67.978,8523.72,sh600519
1641,2008-09-18,-68.203,-73.222,-67.828,-75.206,30581.71,sh600519
1642,2008-09-19,-64.146,-64.146,-64.146,-66.325,46747.12,sh600519
1643,2008-09-22,-60.39,-64.191,-55.807,-64.274,56486.53,sh600519
1644,2008-09-23,-66.265,-73.605,-66.265,-73.801,34955.94,sh600519
